filename,image,geometry,areamsq
babitonga_img0_geom0.kml,0,0,19599978.528542813
babitonga_img0_geom1.kml,0,1,3513986.5403289045
babitonga_img0_geom2.kml,0,2,12395578.705349432
babitonga_img0_geom3.kml,0,3,5822429.192810697
babitonga_img0_geom4.kml,0,4,29258788.776248578
babitonga_img1_geom0.kml,1,0,19484811.61274803
babitonga_img1_geom1.kml,1,1,3539221.691728518
babitonga_img1_geom2.kml,1,2,12502721.276606143
babitonga_img1_geom3.kml,1,3,5829637.745155032
babitonga_img1_geom4.kml,1,4,29162759.9509429
babitonga_img2_geom0.kml,2,0,19465283.35616267
babitonga_img2_geom1.kml,2,1,3534715.43178393
babitonga_img2_geom2.kml,2,2,12477487.855391122
babitonga_img2_geom3.kml,2,3,5842652.743753734
babitonga_img2_geom4.kml,2,4,28618408.258251503
babitonga_img3_geom0.kml,3,0,19452664.622993823
babitonga_img3_geom1.kml,3,1,3540122.872853128
babitonga_img3_geom2.kml,3,2,12517141.520498637
babitonga_img3_geom3.kml,3,3,5862575.690414183
babitonga_img3_geom4.kml,3,4,28504449.236727484
babitonga_img4_geom0.kml,4,0,19571129.38488091
babitonga_img4_geom1.kml,4,1,3604111.794461369
babitonga_img4_geom2.kml,4,2,12626188.182899088
babitonga_img4_geom3.kml,4,3,5863977.201366787
babitonga_img4_geom4.kml,4,4,28874157.502187084
babitonga_img5_geom0.kml,5,0,19366933.923790455
babitonga_img5_geom1.kml,5,1,3618531.5926995156
babitonga_img5_geom2.kml,5,2,12621580.897188298
babitonga_img5_geom3.kml,5,3,5779278.688826143
babitonga_img5_geom4.kml,5,4,28868861.548570234
babitonga_img6_geom0.kml,6,0,19419211.3311919
babitonga_img6_geom1.kml,6,1,3604111.6555760824
babitonga_img6_geom2.kml,6,2,12786403.161206469
babitonga_img6_geom3.kml,6,3,5907828.754623484
babitonga_img6_geom4.kml,6,4,29216831.709370095
